query_id,question,hotel_id,hotel_name,price_lkr,rating,star,travel_time_min,amenities,relevance
q01,cheap budget hotels in Colombo under 25000 LKR a night,ChIJB0RFo2NZ4joRum8BVRCF28g,Granbell Hotel Colombo,,4.5,,3.1,Air Conditioning; 24h Front Desk; Hot Water,
q40,"top rated hotels with fast access, rating 4.3 or higher within 6 minutes",lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q05,hotels with quick easy access and low travel time from the city,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk,Cinnamon Grand Colombo,,4.7,,4.5,Air Conditioning; 24h Front Desk; Hot Water,
q22,really well reviewed places to stay,ChIJN-exN95b4joRx1sC7LHuGdc,Seconds Colombo,,4.3,,11.2,24h Front Desk; Air Conditioning; Restaurant; Hot Water,
q46,highly rated budget stays below 20000,ChIJPUmFLhNZ4joRqBRIpk7g1Qk,Hilton Colombo,,4.6,,6.5,Air Conditioning; 24h Front Desk; Hot Water,
q16,value for money hotels under 40000,lp96bf6,Jetwing Colombo Seven,36262.45,4.4,5.0,5.0,Air Conditioning; 24h Front Desk,
q21,4 star or better hotels,ChIJ2e3NszhZ4joRgMEx0M0swC8,Galle Face Hotel,,4.5,,4.0,Air Conditioning; 24h Front Desk; Hot Water,
q21,4 star or better hotels,lp1c1ea,Cinnamon Grand Colombo,60548.32,4.7,5.0,4.5,Air Conditioning; 24h Front Desk,
q47,4 star hotels under 70000 LKR,lp655a9e91,Zest Metropole,20622.39,4.3,4.0,7.5,Air Conditioning; 24h Front Desk,
q06,well rated hotels with good road access and stable ETA,ChIJsXWHzh9Z4joR9sK4oqwEe1Y,Port View City Hotel,,4.2,,10.3,Air Conditioning; 24h Front Desk; Hot Water,
q07,budget friendly hotels that are also easy to reach quickly,ChIJ-2jwaXRZ4joRijx-9hZDsUM,Jetwing Colombo Seven,,4.5,,5.0,Air Conditioning; 24h Front Desk; Hot Water,
q39,affordable hotels under 30000 rated above 4,lp81760,The Steuart by Citrus,17299.52,4.2,4.0,5.4,Air Conditioning; 24h Front Desk,
q30,avoid traffic - hotels that are easy to get to,lp73ace,The Ocean Colombo - Guaranteed Sea View Rooms,19909.49,3.9,4.0,6.4,24h Front Desk; Air Conditioning,
q13,stays that won't break the bank,lp655a9e91,Zest Metropole,20622.39,4.3,4.0,7.5,Air Conditioning; 24h Front Desk,
q34,easily reachable hotels within 8 minutes drive,lp1c1ea,Cinnamon Grand Colombo,60548.32,4.7,5.0,4.5,Air Conditioning; 24h Front Desk,
q26,premium 5 star hotels rated over 4.5,lp96bf6,Jetwing Colombo Seven,36262.45,4.4,5.0,5.0,Air Conditioning; 24h Front Desk,
q43,well rated air conditioned hotels,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk,Cinnamon Grand Colombo,,4.7,,4.5,Air Conditioning; 24h Front Desk; Hot Water,
q27,hotels I can reach quickly even in traffic,lp655a9e91,Zest Metropole,20622.39,4.3,4.0,7.5,Air Conditioning; 24h Front Desk,
q03,top-rated hotels in Colombo with a rating above 4.5,lp1c1ea,Cinnamon Grand Colombo,60548.32,4.7,5.0,4.5,Air Conditioning; 24h Front Desk,
q22,really well reviewed places to stay,lp65589ffb,MaRadha Colombo,35640.66,4.8,3.0,6.0,Air Conditioning; 24h Front Desk,
q24,hotels that guests love,ChIJIxlaBGlZ4joRCOu-FjV-KDs,Cinnamon Red Colombo,,4.4,,1.7,Air Conditioning; 24h Front Desk; Hot Water,
q31,hotels with a stable ETA under heavy traffic,lpa40ff,Hotel Nippon Colombo,17077.73,3.9,3.0,4.7,Air Conditioning; 24h Front Desk,
q04,luxury 5 star hotels in Colombo,lpc08f9,Morven Hotel Colombo,21299.64,4.5,4.0,1.4,Air Conditioning; 24h Front Desk,
q37,hotels with hot water,lp6574b103,"Amari Colombo, Sri Lanka",39129.87,4.5,5.0,2.8,Air Conditioning; 24h Front Desk,
q43,well rated air conditioned hotels,lp8a969,Maniumpathy Hotel,113424.08,4.9,5.0,6.6,Air Conditioning; 24h Front Desk,
q19,hotels rated at least 4.0,lp65589ffb,MaRadha Colombo,35640.66,4.8,3.0,6.0,Air Conditioning; 24h Front Desk,
q44,cheap quiet hotels away from traffic under 35000,lp81760,The Steuart by Citrus,17299.52,4.2,4.0,5.4,Air Conditioning; 24h Front Desk,
q41,budget hotels below 25000 that are easy to reach,ChIJPz9sxUJZ4joRqbp1iLsl3CU,Juliana Hotel Colombo,,3.3,,2.6,Air Conditioning; 24h Front Desk; Hot Water,
q12,"somewhere cheap to stay, less than Rs 15000",ChIJB0RFo2NZ4joRum8BVRCF28g,Granbell Hotel Colombo,,4.5,,3.1,Air Conditioning; 24h Front Desk; Hot Water,
q28,places with the shortest drive from the center,ChIJ05FiLL5Z4joRjHO4Z-Ea1uk,Cinnamon Grand Colombo,,4.7,,4.5,Air Conditioning; 24h Front Desk; Hot Water,
q17,cheapest possible accommodation in the city,lp8a969,Maniumpathy Hotel,113424.08,4.9,5.0,6.6,Air Conditioning; 24h Front Desk,
q09,premium high quality hotels rated 4.6 or higher,ChIJ-2jwaXRZ4joRijx-9hZDsUM,Jetwing Colombo Seven,,4.5,,5.0,Air Conditioning; 24h Front Desk; Hot Water,
q13,stays that won't break the bank,lp6574b103,"Amari Colombo, Sri Lanka",39129.87,4.5,5.0,2.8,Air Conditioning; 24h Front Desk,
q36,air conditioned hotels under 40000,lp76eba,Radisson Hotel Colombo,27044.21,4.2,4.0,6.8,Air Conditioning; 24h Front Desk,
