participant_id,task_id,scenario_id,scenario_persona,chosen_hotel_id,chosen_hotel_name,chosen_room_id,chosen_room_name,room_price_lkr,room_board,room_refundable,room_size_sqm,n_rooms_offered,is_attention_check,attention_pass,decision_ms,time_to_first_interaction_ms,n_hotels_opened,revisions,room_revisions,submitted_at
6d091299-ade9-40de-bdf3-131e1ffad916,t1,budget_backpacker,budget_backpacker,lp102b02,Marino Beach Colombo,,,,,,,0,false,,6723,52,,0,,2026-08-03T17:59:39.625Z
6d091299-ade9-40de-bdf3-131e1ffad916,t2,business_accessibility,business_accessibility,lp81760,The Steuart by Citrus,,,,,,,0,false,,2848,237,,0,,2026-08-03T17:59:42.891Z
6d091299-ade9-40de-bdf3-131e1ffad916,t3,family_facility,family_facility,lp81760,The Steuart by Citrus,,,,,,,0,false,,3260,239,,0,,2026-08-03T17:59:46.497Z
6d091299-ade9-40de-bdf3-131e1ffad916,t4,quiet_seeker,quiet_seeker,lp81760,The Steuart by Citrus,,,,,,,0,false,,1811,10,,0,,2026-08-03T17:59:48.735Z
6d091299-ade9-40de-bdf3-131e1ffad916,t5,sightseer,sightseer,lpb1537,Shangri-La Colombo,,,,,,,0,false,,2030,128,,0,,2026-08-03T17:59:51.103Z
6d091299-ade9-40de-bdf3-131e1ffad916,t6,attention,attention,lp656d3aa9,Sofia Colombo City Hotel,,,,,,,0,true,false,2365,77,,0,,2026-08-03T17:59:53.840Z
fb7ed68b-8135-40c4-acfc-2a05ed832cc9,t1,budget_backpacker,budget_backpacker,lp30277,Hilton Colombo Residence,,,,,,,0,false,,44360,40,,0,,2026-08-14T00:33:04.159Z
fb7ed68b-8135-40c4-acfc-2a05ed832cc9,t2,business_accessibility,business_accessibility,lp30277,Hilton Colombo Residence,,,,,,,0,false,,178132,4162,,0,,2026-08-14T00:36:02.687Z
fb7ed68b-8135-40c4-acfc-2a05ed832cc9,t3,family_facility,family_facility,lpb1537,Shangri-La Colombo,,,,,,,0,false,,5779,3527,,0,,2026-08-14T00:36:08.815Z
fb7ed68b-8135-40c4-acfc-2a05ed832cc9,t4,quiet_seeker,quiet_seeker,lpb1537,Shangri-La Colombo,,,,,,,0,false,,9244,1907,,0,,2026-08-14T00:36:18.422Z
fb7ed68b-8135-40c4-acfc-2a05ed832cc9,t5,sightseer,sightseer,lp30277,Hilton Colombo Residence,,,,,,,0,false,,14023,7714,,0,,2026-08-14T00:36:32.792Z
fb7ed68b-8135-40c4-acfc-2a05ed832cc9,t6,attention,attention,lp6557c6e0,Granbell Hotel Colombo,,,,,,,0,true,false,27108,11178,,0,,2026-08-14T00:37:00.272Z
5b8ef450-848b-4fe1-9813-819f04abc914,t1,budget_backpacker,budget_backpacker,lp102b02,Marino Beach Colombo,,,,,,,0,false,,34289,35,,0,,2026-08-14T14:24:00.986Z
5b8ef450-848b-4fe1-9813-819f04abc914,t2,business_accessibility,business_accessibility,lp81760,The Steuart by Citrus,,,,,,,0,false,,3542,310,,0,,2026-08-14T14:24:04.892Z
5b8ef450-848b-4fe1-9813-819f04abc914,t3,family_facility,family_facility,lp741c5,Cinnamon Red Colombo,,,,,,,0,false,,4123,92,,0,,2026-08-14T14:24:09.344Z
5b8ef450-848b-4fe1-9813-819f04abc914,t4,quiet_seeker,quiet_seeker,lp102b02,Marino Beach Colombo,,,,,,,0,false,,1628,5,,0,,2026-08-14T14:24:11.299Z
5b8ef450-848b-4fe1-9813-819f04abc914,t5,sightseer,sightseer,lp30277,Hilton Colombo Residence,,,,,,,0,false,,1650,5,,0,,2026-08-14T14:24:13.290Z
5b8ef450-848b-4fe1-9813-819f04abc914,t6,attention,attention,lp102b02,Marino Beach Colombo,,,,,,,0,true,true,1701,6,,0,,2026-08-14T14:24:15.325Z
