task_id,persona,primary_dimension,secondary_dimension,hotel_id,hotel_name,n_respondents,n_shown,n_chosen,share,share_pct,rank_in_group,mean_neg_log_position,spatial,accessibility,facility,economic,disruption,price_lkr,rating,star,distance_km
t1,Evening walker,spatial,economic,lp102b02,Marino Beach Colombo,241,240,0,0.0,0.0,32,-2.7849,0.406,0.344,0.9047,0.469,0.625,30177,4.6,5,3.2
t1,Evening walker,spatial,economic,lp6557c6e0,Granbell Hotel Colombo,241,240,0,0.0,0.0,14,-2.5429,0.531,0.625,0.5422,0.5,0.35,28807,4.6,4,2.3
t1,Evening walker,spatial,economic,lp741c5,Cinnamon Red Colombo,241,240,0,0.0,0.0,24,-2.7996,0.5,0.5,0.6266,0.375,0.35,36530,4.5,4,1.9
t1,Evening walker,spatial,economic,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,241,240,0,0.0,0.0,29,-2.4234,0.781,0.688,0.525,0.531,0.5,28429,4.2,4,2.1
t1,Evening walker,spatial,economic,lp655a9e91,Zest Metropole,241,240,0,0.0,0.0,30,-2.1919,0.75,0.781,0.5375,0.656,0.5,21223,4.3,4,2.0
t1,Evening walker,spatial,economic,lp656d3aa9,Sofia Colombo City Hotel,241,240,0,0.0,0.0,31,-2.7402,0.438,0.594,0.5922,0.594,0.35,23620,4.3,4,2.4
t1,Evening walker,spatial,economic,lp803e1,Galle Face Hotel,241,240,0,0.0,0.0,12,-2.1915,0.719,0.875,0.8141,0.281,0.4,38531,4.5,5,1.8
t1,Evening walker,spatial,economic,lpb1537,Shangri-La Colombo,241,240,77,0.320833,32.08,1,-1.0256,0.969,0.969,0.9281,0.031,0.4,68781,4.7,5,1.9
t1,Evening walker,spatial,economic,lp3e58e,The Kingsbury Colombo,241,240,52,0.216667,21.67,2,-1.7032,0.938,0.906,0.8766,0.312,0.55,37025,4.2,5,2.2
t1,Evening walker,spatial,economic,lp30277,Hilton Colombo Residence,241,240,0,0.0,0.0,28,-2.7147,0.688,0.469,0.9062,0.188,0.55,43133,4.4,5,0.9
t1,Evening walker,spatial,economic,lp67708,Supun Arcade Residency,241,240,0,0.0,0.0,27,-3.0426,0.094,0.156,0.4906,0.719,0.725,20768,3.8,4,5.7
t1,Evening walker,spatial,economic,lp7c172,Mirage Colombo,241,240,0,0.0,0.0,26,-3.0559,0.031,0.062,0.6328,0.75,0.8,20482,3.8,4,6.3
t1,Evening walker,spatial,economic,lp33ddb,"Taj Samudra, Colombo",241,240,7,0.029167,2.92,9,-1.9796,0.875,0.812,0.9016,0.156,0.55,43993,4.5,5,1.7
t1,Evening walker,spatial,economic,lpa0a8a,NH Collection Colombo,241,240,1,0.004167,0.42,11,-2.5599,0.562,0.531,0.9594,0.344,0.325,36981,4.6,5,2.0
t1,Evening walker,spatial,economic,lp1bc0d,Hilton Colombo Hotel,241,240,0,0.0,0.0,25,-2.3797,0.906,0.562,0.8547,0.125,0.475,47767,4.2,5,1.9
t1,Evening walker,spatial,economic,lp71118,CityRest Fort,241,241,36,0.149378,14.94,3,-1.7669,0.812,0.844,0.1922,0.969,0.45,11502,3.5,3,2.0
t1,Evening walker,spatial,economic,lp43673,Pegasus Reef - A Beach Resort in Colombo,241,240,0,0.0,0.0,23,-3.0348,0.0,0.0,0.5859,0.781,0.95,20121,4.0,4,8.1
