task_id,persona,primary_dimension,secondary_dimension,sort_mode,hotel_id,hotel_name,n_respondents,n_shown,n_chosen,share,share_pct,rank_in_group,mean_neg_log_position,spatial,accessibility,facility,economic,disruption,price_lkr,rating,star,distance_km
t1,Evening walker,spatial,economic,distance,lp102b02,Marino Beach Colombo,68,68,0,0.0,0.0,18,-2.9444,0.406,0.344,0.9047,0.469,0.625,30177,4.6,5,3.2
t1,Evening walker,spatial,economic,distance,lp6557c6e0,Granbell Hotel Colombo,68,68,0,0.0,0.0,30,-2.7081,0.531,0.625,0.5422,0.5,0.35,28807,4.6,4,2.3
t1,Evening walker,spatial,economic,distance,lp741c5,Cinnamon Red Colombo,68,68,0,0.0,0.0,29,-2.7726,0.5,0.5,0.6266,0.375,0.35,36530,4.5,4,1.9
t1,Evening walker,spatial,economic,distance,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,68,68,0,0.0,0.0,28,-1.7918,0.781,0.688,0.525,0.531,0.5,28429,4.2,4,2.1
t1,Evening walker,spatial,economic,distance,lp655a9e91,Zest Metropole,68,68,0,0.0,0.0,27,-1.9459,0.75,0.781,0.5375,0.656,0.5,21223,4.3,4,2.0
t1,Evening walker,spatial,economic,distance,lp656d3aa9,Sofia Colombo City Hotel,68,68,0,0.0,0.0,26,-2.8904,0.438,0.594,0.5922,0.594,0.35,23620,4.3,4,2.4
t1,Evening walker,spatial,economic,distance,lp803e1,Galle Face Hotel,68,68,0,0.0,0.0,25,-2.0794,0.719,0.875,0.8141,0.281,0.4,38531,4.5,5,1.8
t1,Evening walker,spatial,economic,distance,lpb1537,Shangri-La Colombo,68,68,36,0.529412,52.94,1,0.0,0.969,0.969,0.9281,0.031,0.4,68781,4.7,5,1.9
t1,Evening walker,spatial,economic,distance,lp3e58e,The Kingsbury Colombo,68,68,23,0.338235,33.82,2,-0.6931,0.938,0.906,0.8766,0.312,0.55,37025,4.2,5,2.2
t1,Evening walker,spatial,economic,distance,lp30277,Hilton Colombo Residence,68,68,0,0.0,0.0,24,-2.3026,0.688,0.469,0.9062,0.188,0.55,43133,4.4,5,0.9
t1,Evening walker,spatial,economic,distance,lp67708,Supun Arcade Residency,68,68,0,0.0,0.0,23,-3.3673,0.094,0.156,0.4906,0.719,0.725,20768,3.8,4,5.7
t1,Evening walker,spatial,economic,distance,lp7c172,Mirage Colombo,68,68,0,0.0,0.0,22,-3.434,0.031,0.062,0.6328,0.75,0.8,20482,3.8,4,6.3
t1,Evening walker,spatial,economic,distance,lp33ddb,"Taj Samudra, Colombo",68,68,7,0.102941,10.29,3,-1.0986,0.875,0.812,0.9016,0.156,0.55,43993,4.5,5,1.7
t1,Evening walker,spatial,economic,distance,lpa0a8a,NH Collection Colombo,68,68,1,0.014706,1.47,4,-2.4849,0.562,0.531,0.9594,0.344,0.325,36981,4.6,5,2.0
