qid,participant_id,task_id,anchor_id,hotel_id,room_id,room_name,label,price_lkr,price_delta_lkr,board_name,breakfast,refundable,size_sqm,max_occupancy,beds,room_position,n_offers,panel_ms,room_revisions,decision_ms,age_band,occupation,salary_band,home_area
1,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp9855f,1459963988-RO-RFN,Superior Twin Room,0,28429,0,Room Only,0,1,22,2,2 x Twin bed,1,5,12018,0,163365,,,,
1,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp9855f,1459638294-BI-RFN,Superior Balcony Room,1,32800,4371,Breakfast Included,1,1,31,2,King bed,2,5,12018,0,163365,,,,
1,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp9855f,1459963988-BI-RFN,Superior Twin Room,0,37170,8741,Breakfast Included,1,1,22,2,2 x Twin bed,3,5,12018,0,163365,,,,
1,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp9855f,256041-RO-RFN,Deluxe Suite with 20% off on Laundry Services,0,50292,21863,Room Only,0,1,46,3,2 x Twin bed,4,5,12018,0,163365,,,,
1,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp9855f,256041-BI-RFN,Deluxe Suite with 20% off on Laundry Services,0,59040,30611,Breakfast Included,1,1,46,3,2 x Twin bed,5,5,12018,0,163365,,,,
2,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp33ddb,478631-BI-RFN,Deluxe Room City View Queen Bed,0,43993,0,Breakfast Included,1,1,35,4,Queen bed,1,5,227694,0,379267,,,,
2,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp33ddb,478634-BI-RFN,Deluxe Room City View Twin Bed,0,43993,0,Breakfast Included,1,1,35,4,Twin bed,2,5,227694,0,379267,,,,
2,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp33ddb,478635-BI-RFN,Deluxe Room Ocean View Twin Bed,0,48390,4397,Breakfast Included,1,1,35,4,Twin bed,3,5,227694,0,379267,,,,
2,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp33ddb,478632-BI-RFN,Deluxe Room Ocean View Queen Bed,0,48390,4397,Breakfast Included,1,1,35,4,Queen bed,4,5,227694,0,379267,,,,
2,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp33ddb,478636-BI-RFN,Luxury Room City View Double Bed,1,52787,8794,Breakfast Included,1,1,35,4,Extra-large double bed (Super-king size),5,5,227694,0,379267,,,,
3,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t2,battaramulla,lp6e625,479119-BI-RFN,Deluxe Double Room,0,15319,0,Breakfast Included,1,1,14,3,Double bed,1,2,5166,0,9041,,,,
3,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t2,battaramulla,lp6e625,479121-BI-RFN,Deluxe Room with Pool View,1,15319,0,Breakfast Included,1,1,14,3,Double bed,2,2,5166,0,9041,,,,
4,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t3,fort,lp3e58e,479092-RO-RFN,Superior Room,1,37025,0,Room Only,0,1,23,3,"Extra-large double bed (Super-king size), 2 x Twin bed",1,2,4815,0,8100,,,,
4,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t3,fort,lp3e58e,479092-BI-RFN,Superior Room,0,37797,772,Breakfast Included,1,1,23,3,"Extra-large double bed (Super-king size), 2 x Twin bed",2,2,4815,0,8100,,,,
5,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp1bc0d,476981-RO-NRF,Superior Twin Room,1,47767,0,Room Only,0,0,31,3,2 x Twin bed,1,2,1110,0,60969,,,,
5,b853ce1d-3cce-4c9d-93c8-8632e1508b17,t1,galle_face,lp1bc0d,476981-RO-RFN,Superior Twin Room,0,51261,3494,Room Only,0,1,31,3,2 x Twin bed,2,2,1110,0,60969,,,,
